date, time (ET), away, home
08/05/2019, 19:00,  New York Jets, New York Giants
08/05/2019, 19:00,  Indianapolis Colts, Buffalo Bills
08/05/2019, 19:30,  Jacksonville Jaguars, Baltimore Ravens
08/05/2019, 19:30,  Tennessee Titans, Philadelphia Eagles
08/05/2019, 19:30,  Atlanta Falcons, Miami Dolphins
08/05/2019, 19:30,  New England Patriots, Detroit Lions
08/05/2019, 19:30,  Washington Redskins, Cleveland Browns
08/05/2019, 20:00,  Houston Texans, Green Bay Packers
08/05/2019, 20:00,  Carolina Panthers, Chicago Bears
08/05/2019, 22:00,  Denver Broncos, Seattle Seahawks
08/05/2019, 22:00,  Los Angeles Chargers, Arizona Cardinals
08/09/2019, 19:30,  Tampa Bay Buccaneers, Pittsburgh Steelers
08/09/2019, 20:00,  Minnesota Vikings, New Orleans Saints
08/10/2019, 20:00,  Los Angeles Rams, Oakland Raiders
08/10/2019, 20:00,  Cincinnati Bengals, Kansas City Chiefs
08/10/2019, 21:00,  Dallas Cowboys, San Francisco 49ers
08/15/2019, 19:00,  Philadelphia Eagles, Jacksonville Jaguars
08/15/2019, 19:30,  New York Jets, Atlanta Falcons
08/15/2019, 19:30,  Green Bay Packers, Baltimore Ravens
08/15/2019, 19:30,  Cincinnati Bengals, Washington Redskins
08/15/2019, 20:00,  Oakland Raiders, Arizona Cardinals
08/16/2019, 19:00,  Buffalo Bills, Carolina Panthers
08/16/2019, 19:30,  Chicago Bears, New York Giants
08/16/2019, 19:30,  Miami Dolphins, Tampa Bay Buccaneers
08/17/2019, 16:00,  Cleveland Browns, Indianapolis Colts
08/17/2019, 19:00,  New England Patriots, Tennessee Titans
08/17/2019, 19:30,  Kansas City Chiefs, Pittsburgh Steelers
08/17/2019, 20:00,  Detroit Lions, Houston Texans
08/17/2019, 22:00,  Dallas Cowboys, Los Angeles Rams
08/18/2019, 16:00,  New Orleans Saints, Los Angeles Chargers
08/18/2019, 20:00,  Seattle Seahawks, Minnesota Vikings
08/19/2019, 20:00,  San Francisco 49ers, Denver Broncos
09/05/2019, 20:20,  Green Bay Packers, Chicago Bears
09/08/2019, 13:00,  Atlanta Falcons, Minnesota Vikings
09/08/2019, 13:00,  Baltimore Ravens, Miami Dolphins
09/08/2019, 13:00,  Buffalo Bills, New York Jets
09/08/2019, 13:00,  Kansas City Chiefs, Jacksonville Jaguars
09/08/2019, 13:00,  Los Angeles Rams, Carolina Panthers
09/08/2019, 13:00,  Tennessee Titans, Cleveland Browns
09/08/2019, 13:00,  Washington Redskins, Philadelphia Eagles
09/08/2019, 16:05,  Cincinnati Bengals, Seattle Seahawks
