Thu Sep 5,8:20 pm, Green Bay Packers, Chicago Bears
 Sun Sep 8,1:00 pm, Atlanta Falcons, Minnesota Vikings
 ,1:00 pm, Baltimore Ravens, Miami Dolphins
 ,1:00 pm, Buffalo Bills, New York Jets
 ,1:00 pm, Kansas City Chiefs, Jacksonville Jaguars
 ,1:00 pm, Los Angeles Rams, Carolina Panthers
 ,1:00 pm, Tennessee Titans, Cleveland Browns
 ,1:00 pm, Washington Redskins, Philadelphia Eagles
 ,4:05 pm, Cincinnati Bengals, Seattle Seahawks
 ,4:05 pm, Indianapolis Colts, Los Angeles Chargers
 ,4:25 pm, Detroit Lions, Arizona Cardinals
 ,4:25 pm, New York Giants, Dallas Cowboys
 ,4:25 pm, San Francisco 49ers, Tampa Bay Buccaneers
 ,8:20 pm, Pittsburgh Steelers, New England Patriots
 Mon Sep 9,7:10 pm, Houston Texans, New Orleans Saints
 ,10:20 pm, Denver Broncos, Oakland Raiders
Thu Sep 12,8:20 pm, Tampa Bay Buccaneers, Carolina Panthers
 Sun Sep 15,1:00 pm, Arizona Cardinals, Baltimore Ravens
 ,1:00 pm, Buffalo Bills, New York Giants
 ,1:00 pm, Dallas Cowboys, Washington Redskins
 ,1:00 pm, Indianapolis Colts, Tennessee Titans
 ,1:00 pm, Jacksonville Jaguars, Houston Texans
 ,1:00 pm, Los Angeles Chargers, Detroit Lions
 ,1:00 pm, Minnesota Vikings, Green Bay Packers
 ,1:00 pm, New England Patriots, Miami Dolphins
 ,1:00 pm, San Francisco 49ers, Cincinnati Bengals
 ,1:00 pm, Seattle Seahawks, Pittsburgh Steelers
 ,4:05 pm, Kansas City Chiefs, Oakland Raiders
 ,4:25 pm, Chicago Bears, Denver Broncos
 ,4:25 pm, New Orleans Saints, Los Angeles Rams
 ,8:20 pm, Philadelphia Eagles, Atlanta Falcons
 Mon Sep 16,8:15 pm, Cleveland Browns, New York Jets
 Thu Sep 19,8:20 pm, Tennessee Titans, Jacksonville Jaguars
